BaseDateTime,VesselName,LAT,LON,IMO,Anomaly,Link : https://www.marinetraffic.com/en/maritime-news/14/accidents/2025/11992/containership-ablaze-in-the-north-sea-after-explosion-rescue
9 Apr 2025 07:55:00 UTC,VICTORIA L,53.46,4.61,9430155,0,
9 Apr 2025 08:05:00 UTC,VICTORIA L,53.43,4.58,9430155,0,
9 Apr 2025 08:26:00 UTC,VICTORIA L,53.35,4.53,9430155,0,
9 Apr 2025 08:38:00 UTC,VICTORIA L,53.32,4.51,9430155,0,
9 Apr 2025 08:46:00 UTC,VICTORIA L,53.28,4.48,9430155,0,
9 Apr 2025 08:56:00 UTC,VICTORIA L,53.24,4.46,9430155,0,
9 Apr 2025 09:11:00 UTC,VICTORIA L,53.19,4.42,9430155,0,
9 Apr 2025 09:23:00 UTC,VICTORIA L,53.16,4.4,9430155,0,
9 Apr 2025 09:33:00 UTC,VICTORIA L,53.12,4.36,9430155,0,
9 Apr 2025 09:51:00 UTC,VICTORIA L,53.07,4.25,9430155,0,
9 Apr 2025 10:03:00 UTC,VICTORIA L,53.05,4.2,9430155,0,
9 Apr 2025 10:13:00 UTC,VICTORIA L,53.02,4.15,9430155,0,
9 Apr 2025 10:25:00 UTC,VICTORIA L,52.99,4.1,9430155,0,
9 Apr 2025 10:36:00 UTC,VICTORIA L,52.95,4.02,9430155,0,
9 Apr 2025 10:48:00 UTC,VICTORIA L,52.93,3.97,9430155,0,
9 Apr 2025 11:18:00 UTC,VICTORIA L,52.84,3.82,9430155,0,
9 Apr 2025 11:33:00 UTC,VICTORIA L,52.8,3.76,9430155,0,
9 Apr 2025 11:45:00 UTC,VICTORIA L,52.77,3.71,9430155,0,
9 Apr 2025 12:11:00 UTC,VICTORIA L,52.71,3.64,9430155,0,
9 Apr 2025 12:23:00 UTC,VICTORIA L,52.69,3.6,9430155,0,
9 Apr 2025 12:36:00 UTC,VICTORIA L,52.66,3.57,9430155,0,
9 Apr 2025 12:45:00 UTC,VICTORIA L,52.64,3.55,9430155,0,
9 Apr 2025 12:53:00 UTC,VICTORIA L,52.63,3.52,9430155,0,
9 Apr 2025 13:06:00 UTC,VICTORIA L,52.6,3.5,9430155,1,
9 Apr 2025 13:21:00 UTC,VICTORIA L,52.56,3.49,9430155,1,
9 Apr 2025 13:25:00 UTC,VICTORIA L,52.55,3.49,9430155,1,
9 Apr 2025 13:36:00 UTC,VICTORIA L,52.52,3.48,9430155,1,
9 Apr 2025 13:55:00 UTC,VICTORIA L,52.47,3.48,9430155,1,
9 Apr 2025 14:00:00 UTC,VICTORIA L,52.46,3.48,9430155,1,
9 Apr 2025 14:16:00 UTC,VICTORIA L,52.41,3.48,9430155,1,
9 Apr 2025 14:26:00 UTC,VICTORIA L,52.4,3.48,9430155,1,
9 Apr 2025 15:01:00 UTC,VICTORIA L,52.38,3.47,9430155,1,
9 Apr 2025 15:15:00 UTC,VICTORIA L,52.38,3.47,9430155,1,
9 Apr 2025 15:38:00 UTC,VICTORIA L,52.37,3.47,9430155,1,
